the age:,Gender:,Area:,Current educational level:,marital status:,Employment status:,Do you use social media applications?,What social media platforms do you use?,What app do you use the most?,How many hours do you spend on social media platforms daily?,Do you feel anxious or stressed after reading negative comments on your posts?,Are you worried about missing out on important information or events when you're not using social media?,Do you feel that using social media has affected your ability to focus and accomplish daily tasks?,Do you think that consuming quick content (such as watching short videos and push notifications...) has affected your patience and ability to deal with long tasks?,Do you use social media right before going to sleep?,Do you have difficulty sleeping because of thinking about what you saw on social media platforms?,Does the number of likes or comments you get on your posts affect you?,Have you changed your opinion or feeling based on the reactions of others on social media platforms?,Do you prefer interacting with friends or family online rather than face-to-face?,How often do you find yourself using social media for longer than you planned?,How do you feel when you compare your life to the lives of others on social media?,"What methods, if any, do you use to limit your social media access?"
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp",WhatsApp,2-Jan,"No, never",rarely,rarely,rarely,rarely,sometimes,"No, never","No, never","No, never",never,Inspiration for change,I don't use my cell phone much
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), Snapchat, Youtube, WhatsApp, Telegram, Locket",Instagram,4-Mar,I don't read comments,"No, never","Yes, a lot","Yes, a lot",sometimes,sometimes,I don't care about the number of likes or comments,sometimes,rarely,always,Inspiration and motivation,"I turn off my phone and occupy myself with studying, reading, or anything else"
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,4-Mar,"No, never",sometimes,sometimes,sometimes,"Yes, always",rarely,"No, never","No, never","No, never",sometimes,Inspiration,Time management
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), Snapchat, WhatsApp, Telegram, Locket",WhatsApp,8-Jul,sometimes,sometimes,"Yes, a lot","Yes, a lot",sometimes,rarely,rarely,sometimes,"No, never",sometimes,"Sometimes motivation, sometimes frustration",Put the cell phone away from me
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), Youtube, WhatsApp, Telegram, Locket",WhatsApp,6-May,"No, never",rarely,sometimes,"Yes, a lot","Yes, always",rarely,"No, never","No, never","No, never",always,"Feeling motivated, sometimes frustrated because of the great progress I am not keeping up with",I delete some applications or put them on the device in a place where I cannot see them until I finish my tasks. I use social media as a reward after I finish work. I leave the device in a far away place.
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,6-May,I don't read comments,sometimes,"Yes, a lot","Yes, a lot","Yes, always","Yes, always",sometimes,sometimes,rarely,always,"I feel frustrated when I see people in the same situation as me being successful. It's not envy, but I feel like I'm incomplete and haven't accomplished anything in my life",Sitting with my family and studying helps me leave my phone
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",X (Twitter),4-Mar,sometimes,sometimes,"Yes, a lot","Yes, a lot","Yes, always",sometimes,sometimes,sometimes,sometimes,always,According to,"Honestly, there is nothing wrong with it, but if I have a job and I have to deliver it, I usually stay away from them"
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, TikTok, Snapchat, Youtube, WhatsApp, Locket,",Instagram,4-Mar,sometimes,sometimes,sometimes,rarely,sometimes,sometimes,sometimes,sometimes,"No, never",sometimes,Sometimes I feel like I don't find time for myself compared to when I see them photographing some of their diaries and outings,"Setting a timer for me on the mobile phone at such and such an hour. I will stop using the mobile phone, or move it away from the place where I am sitting. For example, put it on the bed and sit at the desk away from it to complete tasks, and so on. Put it on silent at times that require me to study or work on something important at that time. So as not to distract me"
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Youtube, WhatsApp, Telegram, Locket",WhatsApp,4-Mar,sometimes,sometimes,sometimes,sometimes,sometimes,"No, never",rarely,rarely,"No, never",rarely,It's normal that I don't compare myself to them,Delete applications
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Pintrest",Snapchat,6-May,I don't read comments,rarely,sometimes,"No, never",rarely,"No, never",I don't care about the number of likes or comments,sometimes,"No, never",always,"I know that life on social media is the better part of other people's lives in reality, and I know that I have a beautiful life in reality, and comparing life on social media makes me change some of the bad things in my actual life into good things.","I previously used the limits of applications, but now I see that I benefit from my time on social media applications. I use them in my free time and enjoy them, and this is what is required. Therefore, your portrayal of social media as an addictive tool bothers me. It helps many, makes many happy, and is considered a reward for me from the pressures of study and other things."
18-24,feminine,Riyadh,diploma,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,4-Mar,rarely,"No, never","Yes, a lot","Yes, a lot","Yes, always","No, never",I don't care about the number of likes or comments,sometimes,rarely,always,I challenge myself to be better than them and learn from their experience and try it,Leave the cell phone away from me
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, Snapchat, Youtube, WhatsApp, Telegram, Locket",WhatsApp,6-May,"Yes, always","Yes, always","Yes, a lot","Yes, a lot","Yes, always",sometimes,I don't care about the number of likes or comments,sometimes,"No, never",always,Lack and sadness,"Leave it in the first round 
 And go down to the ground floor"
18-24,feminine,Riyadh,High school or equivalent,bachelor,"Student, unemployed",Yes,"Instagram, X (Twitter), LinkedIn, Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,4-Mar,sometimes,"Yes, always",sometimes,"No, never","Yes, always",rarely,"Yes, always",sometimes,rarely,sometimes,"Comparison is sometimes positive, such as seeing what others offer and thus developing the person?s skills and expanding perceptions, and then it is inspiring. 
 On the other hand, it is negative when your abilities are diminished because of your view of the success of others, and here it may turn into envy or frustration on the psychological level of the person. 
 What I want to say is that this matter depends on the person and his way of looking, and as for me, I like to see what others have to offer so that I can have greater experiences and learn more.",Often putting the mobile phone on silent mode and sometimes turning off the internet
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,8-Jul,"Yes, always",sometimes,"Yes, a lot","Yes, a lot","Yes, always",rarely,"No, never",sometimes,"No, never",always,Motivation to complete studies,nothing
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,4-Mar,rarely,"No, never","Yes, a lot","Yes, a lot",sometimes,"No, never",sometimes,rarely,rarely,sometimes,nothing,Use the Do Not Disturb feature and put the phone in a far away place
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,6-May,"No, never","Yes, always","Yes, a lot","Yes, a lot","Yes, always",rarely,sometimes,"No, never","No, never",always,I don't feel,Leave the device away from me
13-17,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, WhatsApp, Telegram, Locket,",Instagram,8-Jul,rarely,sometimes,rarely,rarely,sometimes,"No, never",I don't care about the number of likes or comments,sometimes,"No, never",rarely,I don't like comparisons ??,No but I limit myself
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,6-May,sometimes,rarely,"Yes, a lot","Yes, a lot","Yes, always","Yes, always","No, never",sometimes,rarely,always,"Feelings of inadequacy, frustration, and lack of desire to continue",Clarify the limits of applications
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,2-Jan,sometimes,sometimes,"Yes, a lot","Yes, a lot",sometimes,"Yes, always","Yes, always",rarely,sometimes,always,.,.
18-24,male,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",Instagram,6-May,rarely,"No, never","Yes, a lot","No, never","Yes, always","Yes, always","No, never",sometimes,"No, never",always,"The outlook differs from person to person depending on their situation, but in general there is a feeling of motivation to accomplish and achieve my plans, but it is impossible to be disappointed and lacking.","The first way is to read novels, because I personally prefer them to be a paper book, not an electronic book, and that is something that distracts me from devices in general, and also an important thing for me is to create an atmosphere of laughter with those around you, for example, your sisters, brothers, etc. Instead of everyone holding the mobile phone, you can suggest that you play games and It becomes a routine."
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Locket",TikTok,6-May,rarely,sometimes,sometimes,rarely,sometimes,"No, never","No, never",rarely,"No, never",sometimes,I never compare,"Realistic social interaction, practicing hobbies"
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram",TikTok,8-Jul,"Yes, always",sometimes,"Yes, a lot","Yes, a lot","Yes, always",sometimes,sometimes,sometimes,rarely,always,Feeling somewhat inferior and frustrated when seeing the achievements of others,Set airplane mode or do anything manually
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",X (Twitter),6-May,"Yes, always",sometimes,"Yes, a lot","Yes, a lot","Yes, always",sometimes,I don't care about the number of likes or comments,sometimes,sometimes,always,"Frustration, a feeling of dissatisfaction even though life is not bad
 It causes feelings of denial of blessings and feelings of habituation to blessings",I don't charge my phone.
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,4-Mar,rarely,"Yes, always","Yes, a lot","Yes, a lot","Yes, always",rarely,sometimes,sometimes,sometimes,always,I am negligent,"I set a Snapchat limit, but I don't stick to it"
25-34,male,Riyadh,Bachelor's degree,bachelor,Not employed,Yes,"Facebook, Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",Youtube,10-Sep,"No, never","No, never","No, never","No, never","Yes, always",rarely,I don't care about the number of likes or comments,"No, never","No, never",always,I want to work more and accomplish more things,I don't do anything
25-34,male,Riyadh,diploma,bachelor,Full time employee,Yes,"X (Twitter), LinkedIn, Snapchat, Youtube, WhatsApp, Telegram",Snapchat,4-Mar,rarely,sometimes,sometimes,sometimes,sometimes,"No, never","No, never","No, never",rarely,sometimes,"I feel that I can reach the level of motivation and inspiration they have achieved, and I do not care about the issue of deficiency and frustration","Access to my communication does not exceed 4 hours a day, and it is part of my work"
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Locket",Instagram,4-Mar,I don't read comments,"No, never",sometimes,"Yes, a lot","Yes, always","No, never",I don't care about the number of likes or comments,sometimes,"No, never",sometimes,I don't prefer to compare my life to anyone,I complete my tasks before using them so that I do not realize that the day is over until after they are completed
13-17,feminine,Riyadh,Less than high school,bachelor,student,Yes,"Instagram, TikTok, Snapchat, Youtube, WhatsApp, Locket",TikTok,8-Jul,sometimes,sometimes,"Yes, a lot",sometimes,sometimes,rarely,rarely,"Yes, always",sometimes,always,incentive,A
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram",TikTok,8-Jul,"No, never",sometimes,sometimes,sometimes,"Yes, always","No, never",I don't care about the number of likes or comments,"No, never",sometimes,always,I don't compare myself to anyone's life,Set a specific time
45-54,feminine,Riyadh,High school or equivalent,married,housewife,Yes,"Instagram, X (Twitter), Snapchat, Youtube, WhatsApp, Telegram",Instagram,4-Mar,sometimes,rarely,"Yes, a lot","Yes, a lot","Yes, always",sometimes,sometimes,sometimes,sometimes,sometimes,It's normal and I don't care,Trying to get busy reading the Qur?an and some books
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Facebook, Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",X (Twitter),2-Jan,"Yes, always","Yes, always","Yes, a lot","Yes, a lot",sometimes,sometimes,rarely,sometimes,"No, never",sometimes,"Frustration, but it gives me motivation, even if it is a bad motivation",Fox Mode on iPhone
18-24,feminine,Riyadh,Bachelor's degree,bachelor,Full time employee,Yes,"Instagram, LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,2-Jan,"No, never","No, never",sometimes,"Yes, a lot","Yes, always","No, never",I don't care about the number of likes or comments,"No, never","No, never",sometimes,Sometimes and sometimes,Set limits on applications
35-44,feminine,Riyadh,Bachelor's degree,married,Not employed,Yes,"Instagram, X (Twitter), Snapchat, WhatsApp, Telegram",WhatsApp,6-May,"Yes, always","Yes, always","Yes, a lot","Yes, a lot","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always",always,..,..
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",Youtube,6-May,sometimes,sometimes,sometimes,"Yes, a lot",rarely,rarely,"No, never",rarely,rarely,sometimes,jealousy,Border organization
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram",TikTok,6-May,"Yes, always",rarely,"Yes, a lot","Yes, a lot",sometimes,sometimes,I don't care about the number of likes or comments,"Yes, always",rarely,always,incentivize,"Limits on applications, mobile shutdown"
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram",Youtube,6-May,"Yes, always","Yes, always","Yes, a lot","Yes, a lot","Yes, always",sometimes,"Yes, always","Yes, always","Yes, always",always,"Dissatisfaction, search for idealism, self-exhaustion","Setting other goals that occupy time and benefit me away from devices, such as sports and favorite hobbies."
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Youtube, WhatsApp, Telegram",Youtube,4-Mar,I don't read comments,sometimes,"Yes, a lot",rarely,sometimes,rarely,I don't care about the number of likes or comments,rarely,rarely,sometimes,frustration,Set a timer on applications
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp",X (Twitter),8-Jul,I don't post,rarely,sometimes,"Yes, a lot","Yes, always","No, never",I don't care about the number of likes or comments,sometimes,rarely,always,"A feeling of inadequacy and frustration,",Leave the device locked in the drawer
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, Snapchat, Youtube, WhatsApp, Telegram, Locket",WhatsApp,6-May,sometimes,"Yes, always","Yes, a lot","Yes, a lot","Yes, always","Yes, always","Yes, always","Yes, always",rarely,always,Feeling frustrated and blaming yourself,Leave the device somewhere else or use the app limit feature
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,4-Mar,I don't post,sometimes,"No, never",sometimes,"Yes, always",rarely,I don't care about the number of likes or comments,rarely,rarely,sometimes,I don't like comparison,Leave the device in the room and leave it
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",WhatsApp,2-Jan,sometimes,"Yes, always",sometimes,sometimes,"Yes, always","No, never",sometimes,sometimes,rarely,always,I don't compare,Delete the application or put it in the library
45-54,feminine,Riyadh,Bachelor's degree,married,retired,Yes,"Instagram, X (Twitter), Snapchat, Youtube, WhatsApp, Locket",WhatsApp,6-May,"No, never",sometimes,"Yes, a lot","Yes, a lot","Yes, always",rarely,sometimes,rarely,sometimes,sometimes,nothing,nothing
18-24,feminine,Riyadh,High school or equivalent,bachelor,retired,Yes,"Instagram, TikTok, Snapchat, Youtube, WhatsApp",Instagram,10-Sep,"Yes, always",sometimes,"Yes, a lot",sometimes,"Yes, always",sometimes,"Yes, always",sometimes,"Yes, always",always,"I don't feel anything, I just say thank God",nothing
13-17,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, TikTok, Snapchat, Youtube, Locket",Instagram,4-Mar,"No, never","Yes, always",sometimes,"Yes, a lot","Yes, always","Yes, always",sometimes,"No, never","No, never",always,I don't compare,I didn't understand
18-24,feminine,Riyadh,High school or equivalent,bachelor,"Student, housewife",Yes,"Instagram, Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,2-Jan,I don't post,"No, never","Yes, a lot","Yes, a lot",sometimes,rarely,I don't care about the number of likes or comments,sometimes,rarely,sometimes,"I can't compare to Razia, thank God",Being busy at home
25-34,feminine,Riyadh,Less than high school,married,housewife,Yes,"Instagram, TikTok, Snapchat, Youtube, WhatsApp",TikTok,8-Jul,rarely,"Yes, always","Yes, a lot",sometimes,"Yes, always",rarely,I don't care about the number of likes or comments,rarely,"No, never",always,"Feeling inferior, demanding more benefits from life, and not being satisfied with the resistance I have available to my normal life","Being busy with various activities, such as housekeeping, going to events, or completing personal tasks"
13-17,feminine,Riyadh,Less than high school,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,8-Jul,"Yes, always",sometimes,sometimes,sometimes,"Yes, always","Yes, always","Yes, always",sometimes,sometimes,sometimes,I'm jealous,"I don't know, but may God grant you success, reward you well, and grant you success ????"
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), Youtube, WhatsApp, Telegram, Locket",X (Twitter),4-Mar,rarely,sometimes,sometimes,sometimes,"Yes, always","No, never",rarely,sometimes,rarely,sometimes,Not being satisfied,"Limits on applications, suspension of accounts for a period"
18-24,male,Dammam,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram",TikTok,4-Mar,I don't post,"No, never","Yes, a lot","Yes, a lot",rarely,"No, never",I don't care about the number of likes or comments,"No, never","No, never",rarely,I don't compare,"Filling free time with useful things such as attending courses, sports, or real social communication with real people, and setting limits on the duration of use."
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, TikTok, Youtube, WhatsApp",Instagram,4-Mar,rarely,sometimes,sometimes,"Yes, a lot",sometimes,rarely,"Yes, always",sometimes,rarely,sometimes,Motivating and sometimes frustrating,Put my device on Do Not Disturb and silent
13-17,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,8-Jul,"Yes, always",sometimes,"Yes, a lot","Yes, a lot","Yes, always","Yes, always",sometimes,sometimes,rarely,always,With negative thinking,nothing
18-24,feminine,Riyadh,Bachelor's degree,bachelor,Full time employee,Yes,"Instagram, X (Twitter), LinkedIn, Snapchat, Youtube, WhatsApp, Telegram",Instagram,2-Jan,I don't post,rarely,sometimes,"No, never","Yes, always",rarely,"No, never","No, never","No, never",sometimes,I don't compare,Turn off notifications
13-17,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram",X (Twitter),10-Sep,sometimes,"Yes, always",rarely,sometimes,"Yes, always",rarely,sometimes,"No, never","Yes, always",always,Sometimes I wish for their lives,Turn off the phone
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, TikTok",TikTok,6-May,"Yes, always","Yes, always","Yes, a lot","Yes, a lot","Yes, always","Yes, always","Yes, always",rarely,sometimes,sometimes,incentive,Not charging the device
18-24,feminine,Riyadh,diploma,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",Snapchat,2-Jan,"No, never","No, never",rarely,rarely,sometimes,rarely,I don't care about the number of likes or comments,"No, never",sometimes,sometimes,I'm not interested,no
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, TikTok, Snapchat, Youtube, WhatsApp, Telegram",TikTok,6-May,rarely,"No, never",sometimes,sometimes,"Yes, always","No, never",I don't care about the number of likes or comments,rarely,"No, never",sometimes,no,Put my phone on silent
55 and more,male,Riyadh,Ph.D,married,Part-time employee,Yes,"Facebook, Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp",WhatsApp,4-Mar,rarely,"No, never",rarely,"No, never",sometimes,"No, never",sometimes,sometimes,rarely,rarely,Satisfied with what God has blessed me with and satisfied with what has been written for me from the Lord of the Worlds,Nothing
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"X (Twitter), LinkedIn, Youtube, WhatsApp, Telegram, Locket",Telegram,2-Jan,I don't post,sometimes,"Yes, a lot","Yes, a lot",sometimes,rarely,sometimes,sometimes,sometimes,always,"A feeling of inadequacy and frustration, that I am late, and that someone else is continuing to achieve",I use Forest and delete the applications that I know are busy
18-24,feminine,Riyadh,High school or equivalent,married,student,Yes,"X (Twitter), TikTok, WhatsApp",WhatsApp,4-Mar,I don't post,"No, never","No, never",rarely,sometimes,"No, never",I don't care about the number of likes or comments,"No, never",rarely,sometimes,normal,I don't know
18-24,feminine,Riyadh,Bachelor's degree,bachelor,Not employed,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",Instagram,8-Jul,rarely,sometimes,"Yes, a lot","Yes, a lot","Yes, always",sometimes,I don't care about the number of likes or comments,rarely,sometimes,always,nothing,Leave it in another room + do not charge the device except once
25-34,male,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram",LinkedIn,6-May,sometimes,"No, never","Yes, a lot","Yes, a lot",sometimes,sometimes,sometimes,rarely,rarely,sometimes,Striving for the best,"Turn off notifications, put away the phone."
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",Snapchat,6-May,sometimes,sometimes,"Yes, a lot",sometimes,"Yes, always",rarely,sometimes,rarely,sometimes,sometimes,Positive people help you feel motivated and inspired,Being busy with daily chores
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Facebook, Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,6-May,I don't post,sometimes,"Yes, a lot","Yes, a lot","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always",always,"No, no one affects me. I am a big shame",I don't know honestly
13-17,feminine,Riyadh,High school or equivalent,bachelor,Not employed,Yes,"Youtube, WhatsApp",Youtube,6-May,I don't post,"No, never",rarely,"No, never",rarely,"No, never",I don't care about the number of likes or comments,"No, never","No, never",rarely,I don't care.,Nothing
25-34,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, Snapchat, Youtube, WhatsApp, Telegram",Youtube,8-Jul,sometimes,sometimes,"Yes, a lot","Yes, a lot","Yes, always","Yes, always","Yes, always",rarely,sometimes,always,Frustration and not accomplishing something important or even something noteworthy,I remember my unfinished tasks and think about what tomorrow will be like if I don't complete it and how it will affect me
